sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
KKB90015,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) STANDY light grey,"Autosedište 2-3 (15-36 kg) STANDY (light grey)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 39x36x17 cm </p>
<p>- neto težina: 1 kg ",,,1,Taxable Goods,"Catalog, Search",1690.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-standy-light-grey,"Kikka Boo Autosedište 2-3 (15-36 kg) STANDY light grey , KKB90015","Kikka Boo Autosedište 2-3 (15-36 kg) STANDY light grey , KKB90015","Kikka Boo Autosedište 2-3 (15-36 kg) STANDY light grey , KKB90015",/a/u/autosedi_te_2-3_15-36_kg_standy_light_grey.jpg,,/a/u/autosedi_te_2-3_15-36_kg_standy_light_grey.jpg,,/a/u/autosedi_te_2-3_15-36_kg_standy_light_grey.jpg,,/a/u/autosedi_te_2-3_15-36_kg_standy_light_grey.jpg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,19.7.22.,,,,,Use config,,"manufacturer=KikkaBoo,color=Siva,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:32,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_standy_light_grey.jpg,/a/u/autosedi_te_2-3_15-36_kg_standy_light_grey1.jpeg",",",,,,,,,,,,,,,
KKB90004,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue robots,"Autosedište 2-3 (15-36 kg) JAZZY (blue robots, blue stars, pink dolls)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- razigrani dizajn </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 45x38x21 cm </p>
<p>- neto težina: 0,85 kg ",,,1,Taxable Goods,"Catalog, Search",2790.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-jazzy-blue-robots,"Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue robots , KKB90004","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue robots , KKB90004","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue robots , KKB90004",/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_robots.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_robots.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_robots.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_robots.jpeg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,1.4.23.,,,,,Use config,,"manufacturer=KikkaBoo,color=Plava,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:32,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_robots.jpeg,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_robots1.jpg",",",,,,,,,,,,,,,
KKB90005,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue stars,"Autosedište 2-3 (15-36 kg) JAZZY (blue robots, blue stars, pink dolls)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- razigrani dizajn </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 45x38x21 cm </p>
<p>- neto težina: 0,85 kg ",,,1,Taxable Goods,"Catalog, Search",2790.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-jazzy-blue-stars,"Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue stars , KKB90005","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue stars , KKB90005","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue stars , KKB90005",/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_stars.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_stars.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_stars.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_stars.jpg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,14.2.23.,,,,,Use config,,"manufacturer=KikkaBoo,color=Plava,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:32,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_stars.jpg,/a/u/autosedi_te_2-3_15-36_kg_jazzy_blue_stars1.jpg",",",,,,,,,,,,,,,
KKB90006,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink dolls,"Autosedište 2-3 (15-36 kg) JAZZY (blue robots, blue stars, pink dolls)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- razigrani dizajn </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 45x38x21 cm </p>
<p>- neto težina: 0,85 kg ",,,1,Taxable Goods,"Catalog, Search",1990.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-jazzy-pink-dolls,"Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink dolls , KKB90006","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink dolls , KKB90006","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink dolls , KKB90006",/a/u/autosedi_te_2-3_15-36_kg_jazzy_pink_dolls.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_pink_dolls.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_pink_dolls.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy_pink_dolls.jpg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,28.1.22.,,,,,Use config,,"manufacturer=KikkaBoo,color=Pink,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:33,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_jazzy_pink_dolls.jpg,/a/u/autosedi_te_2-3_15-36_kg_jazzy_pink_dolls1.jpg",",",,,,,,,,,,,,,
KKB90039,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue crocodile,"Autosedište 2-3 (15-36 kg) JAZZY (blue crocodile. brown sloth, pink unicorn)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- razigrani dizajn </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 45x38x21 cm </p>
<p>- neto težina: 0,85 kg ",,,1,Taxable Goods,"Catalog, Search",3390.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-jazzy-blue-crocodile,"Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue crocodile , KKB90039","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue crocodile , KKB90039","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY blue crocodile , KKB90039",/a/u/autosedi_te_2-3_15-36_kg_jazzy__blue_crocodile.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__blue_crocodile.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__blue_crocodile.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__blue_crocodile.jpg,,29.9.21. 22:07,2.7.25. 13:14,,,Block after Info Column,,,,No,,,,,,,Use config,,"cost=2905.000000,manufacturer=KikkaBoo,color=Plava,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:32,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__blue_crocodile.jpg,,,,,,,,,,,,,,
KKB90040,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY brown sloth,"Autosedište 2-3 (15-36 kg) JAZZY (blue crocodile. brown sloth, pink unicorn)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- razigrani dizajn </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 45x38x21 cm </p>
<p>- neto težina: 0,85 kg ",,,1,Taxable Goods,"Catalog, Search",3290.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-jazzy-brown-sloth,"Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY brown sloth , KKB90040","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY brown sloth , KKB90040","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY brown sloth , KKB90040",/a/u/autosedi_te_2-3_15-36_kg_jazzy__brown_sloth.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__brown_sloth.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__brown_sloth.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__brown_sloth.jpg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,10.1.24.,,,,,Use config,,"manufacturer=KikkaBoo,color=Bež,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:32,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__brown_sloth.jpg,,,,,,,,,,,,,,
KKB90041,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink unicorn,"Autosedište 2-3 (15-36 kg) JAZZY (blue crocodile. brown sloth, pink unicorn)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- razigrani dizajn </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 45x38x21 cm </p>
<p>- neto težina: 0,85 kg ",,,1,Taxable Goods,"Catalog, Search",3290.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-jazzy-pink-unicorn,"Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink unicorn , KKB90041","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink unicorn , KKB90041","Kikka Boo Autosedište 2-3 (15-36 kg) JAZZY pink unicorn , KKB90041",/a/u/autosedi_te_2-3_15-36_kg_jazzy__pink_unicorn.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__pink_unicorn.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__pink_unicorn.jpg,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__pink_unicorn.jpg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,6.11.23.,,,,,Use config,,"manufacturer=KikkaBoo,color=Pink,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=22.1.22. 20:17,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/u/autosedi_te_2-3_15-36_kg_jazzy__pink_unicorn.jpg,,,,,,,,,,,,,,
KKB90027,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX beige,"Autosedište 2-3 (15-36 kg) GROOVY sa ISOFIX-om (beige, black, dark grey, light grey, mint, pink)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- ISOFIX sistem za dodatnu sigurnost i lakšu instalaciju auto sedišta </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 42x36x18 cm </p>
<p>- neto težina: 2,25 kg ",,,1,Taxable Goods,"Catalog, Search",3990.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-groovy-isofix-beige,"Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX beige , KKB90027","Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX beige , KKB90027","Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX beige , KKB90027",/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_beige.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_beige.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_beige.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_beige.jpeg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,26.6.24.,,,,,Use config,,"manufacturer=KikkaBoo,color=Bež,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=3.2.22. 10:32,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_beige.jpeg,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_beige1.jpg",",",,,,,,,,,,,,,
KKB90028,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX black,"Autosedište 2-3 (15-36 kg) GROOVY sa ISOFIX-om (beige, black, dark grey, light grey, mint, pink)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- ISOFIX sistem za dodatnu sigurnost i lakšu instalaciju auto sedišta </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 42x36x18 cm </p>
<p>- neto težina: 2,25 kg ",,,1,Taxable Goods,"Catalog, Search",3990.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-groovy-isofix-black,"Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX black , KKB90028","Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX black , KKB90028","Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX black , KKB90028",/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_black.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_black.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_black.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_black.jpeg,,29.9.21. 22:07,13.6.25. 11:08,,,Block after Info Column,,,,No,,9.2.24.,,,,,Use config,,"manufacturer=KikkaBoo,color=Crna,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=22.1.22. 20:17,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_black.jpeg,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_black1.jpg",",",,,,,,,,,,,,,
KKB90026,,Auto sedišta,simple,Shoppy Online/Bebi oprema/Auto sedišta,Shoppy,Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX dark grey,"Autosedište 2-3 (15-36 kg) GROOVY sa ISOFIX-om (beige, black, dark grey, light grey, mint, pink)  </p>
<p>- kategorija 2-3 (15-36 kg) </p>
<p>- instalacija u smeru kretanja vozila </p>
<p>- ISOFIX sistem za dodatnu sigurnost i lakšu instalaciju auto sedišta </p>
<p>- lagano i kompaktno </p>
<p>- izuzetno veliko autosedište </p>
<p>- mekana tkanina pruža prijatan osećaj mališanima </p>
<p>- naslon za ruke </p>
<p>- proizvedeno po Evropskom standardu ECE R44/04 </p>
<p>- dimenzije: 42x36x18 cm </p>
<p>- neto težina: 2,25 kg ",,,1,Taxable Goods,"Catalog, Search",4990.000000,,,,kikka-boo-autosediste-2-3-15-36-kg-groovy-isofix-dark-grey,"Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX dark grey , KKB90026","Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX dark grey , KKB90026","Kikka Boo Autosedište 2-3 (15-36 kg) GROOVY ISOFIX dark grey , KKB90026",/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_dark_grey.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_dark_grey.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_dark_grey.jpeg,,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_dark_grey.jpeg,,29.9.21. 22:07,13.6.25. 11:33,,,Block after Info Column,,,,No,,1.6.25.,,,,,Use config,,"manufacturer=KikkaBoo,color=Siva,kontakt_za_informacije_i_poruc=Telefon/SMS/Viber: +381 63 277 596; email: podrska@shoppy.rs,velicina_auto_sedista=125-150 cm,dobavljac=KIKKA BOO,sf_updated_at=22.1.22. 20:17,deklaracija=Jedinica mere: 1 komad; Zemlja porekla: Navedeno na pakovanju proizvoda; Uvoznik: Navedeno na pakovanju proizvoda,google_product_category=Baby & Toddler > Baby Transport,rok_isporuke=2 - 5 radnih dana",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_dark_grey.jpeg,/a/u/autosedi_te_2-3_15-36_kg_groovy_isofix_dark_grey1.jpg",",",,,,,,,,,,,,,
